desercion_año_anterior,frecuencia_viajes,departamento,distancia_domicilio,educacion,formacion,conteo_de_empleados,ID,nivel_de_cargo,nombre_cargo,estado_civil,ingresos_mensuales,empresas_anteriores,edad>18,porcentaje_aumentosalario,horas_trabajo,nivel_de_opciones,años_de_trabajo,numero_capacitaciones,años_jefe_actual,satisfaccion_entorno,satisfaccion_laboral,conciliacion_faimilar_laboral,implicacion_laboral,rendimiento,tiempo_prom_dia
No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,1,Healthcare Representative,Married,131160,1.0,Y,11,8,0,1.0,6,0,3.0,4.0,2.0,3,3,6.8702
Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,2,1,Research Scientist,Single,41890,0.0,Y,23,8,1,6.0,3,4,3.0,2.0,4.0,2,4,7.316
No,Travel_Frequently,Research & Development,17,4,Other,1,3,4,Sales Executive,Married,193280,1.0,Y,15,8,3,5.0,2,3,2.0,2.0,1.0,3,3,6.8161
No,Non-Travel,Research & Development,2,5,Life Sciences,1,4,3,Human Resources,Married,83210,3.0,Y,11,8,3,13.0,5,5,4.0,4.0,3.0,2,3,6.7892
No,Travel_Rarely,Research & Development,10,1,Medical,1,5,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,4,4.0,1.0,3.0,3,3,7.8776
No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,6,4,Research Director,Married,40710,3.0,Y,13,8,0,28.0,5,7,3.0,2.0,2.0,3,3,10.2758
Yes,Travel_Rarely,Research & Development,11,2,Medical,1,7,2,Sales Executive,Single,58130,2.0,Y,20,8,1,5.0,2,0,1.0,3.0,1.0,3,4,6.4509
No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,8,2,Sales Executive,Married,31430,2.0,Y,22,8,3,10.0,2,0,1.0,2.0,3.0,3,4,6.5636
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,9,3,Laboratory Technician,Married,20440,0.0,Y,21,8,0,10.0,2,8,2.0,4.0,3.0,3,4,6.6843
No,Non-Travel,Research & Development,7,4,Medical,1,10,4,Laboratory Technician,Divorced,134640,1.0,Y,13,8,1,6.0,2,5,2.0,1.0,3.0,3,3,6.6536
No,Travel_Rarely,Research & Development,17,2,Medical,1,11,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,10,3.0,4.0,3.0,2,3,8.1335
No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,12,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,11,3.0,4.0,3.0,3,3,6.8418
No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,13,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,13,4.0,1.0,3.0,3,3,8.5543
Yes,Non-Travel,Research & Development,1,1,Medical,1,14,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,9,1.0,2.0,2.0,2,3,8.8714
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,15,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,4,4.0,4.0,2.0,3,3,5.894
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,16,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,1,3.0,4.0,4.0,3,3,6.382
No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,0,4.0,3.0,4.0,2,3,6.0342
No,Non-Travel,Research & Development,1,3,Medical,1,18,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,2,1.0,4.0,3.0,3,3,10.8816
No,Travel_Rarely,Sales,7,4,Life Sciences,1,19,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,2,2.0,2.0,2.0,2,3,6.4851
No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,7,1.0,1.0,3.0,3,3,8.6217
No,Travel_Frequently,Research & Development,1,4,Other,1,21,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,4,3.0,2.0,1.0,3,3,7.0725
No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,6,1.0,2.0,2.0,2,4,5.6225
No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,3,3.0,3.0,2.0,3,3,7.8285
No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,11.0,4,6,2.0,3.0,3.0,1,3,6.6156
No,Travel_Frequently,Research & Development,16,4,Medical,1,25,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,9,2.0,4.0,2.0,3,3,6.5804
No,Travel_Rarely,Research & Development,1,4,Other,1,26,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,8,2.0,4.0,3.0,3,3,9.0612
No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,3,1.0,1.0,3.0,3,4,10.5363
No,Travel_Rarely,Sales,5,1,Marketing,1,28,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,7,4.0,4.0,3.0,3,3,7.2074
Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,0,4.0,3.0,1.0,2,3,10.7131
No,Travel_Rarely,Sales,2,3,Marketing,1,30,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,4.0,4.0,3.0,2,3,6.31
Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,2,1.0,2.0,3.0,2,3,9.6628
No,Travel_Rarely,Research & Development,7,3,Other,1,32,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,2,4.0,4.0,3.0,2,3,6.521
No,Travel_Frequently,Research & Development,1,1,Medical,1,33,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,2,3.0,1.0,3.0,3,3,9.8846
No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,7,3.0,2.0,3.0,3,3,6.0339
No,Travel_Frequently,Research & Development,9,4,Medical,1,35,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,4.0,2.0,2.0,3,3,6.3483
Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,4,4.0,4.0,3.0,3,3,9.5709
