años_de_trabajo,años_jefe_actual,satisfaccion_entorno,satisfaccion_laboral,tiempo_prom_dia,frecuencia_viajes_Non-Travel,frecuencia_viajes_Travel_Frequently,estado_civil_Divorced,estado_civil_Single,numero_capacitaciones_2
20.0,3,1.0,3.0,6.4536,0,1,0,1,0
9.0,6,1.0,3.0,7.8554,0,1,0,1,0
11.0,10,4.0,4.0,7.3226,0,1,0,0,0
7.0,1,2.0,2.0,6.444,0,0,1,0,1
25.0,12,3.0,4.0,8.2136,0,1,0,0,0
22.0,14,3.0,1.0,7.8146,0,1,0,1,0
15.0,0,4.0,2.0,10.1586,0,0,0,0,0
33.0,8,4.0,4.0,6.4804,0,0,0,1,1
16.0,0,1.0,4.0,6.668,1,0,1,0,0
6.0,2,3.0,3.0,10.3249,0,0,0,1,1
28.0,3,2.0,4.0,5.9316,0,1,0,0,0
12.0,10,3.0,1.0,6.4262,1,0,1,0,1
9.0,2,2.0,1.0,7.3808,0,0,0,0,0
1.0,0,4.0,4.0,7.975,0,1,0,1,0
4.0,0,4.0,4.0,7.1223,0,1,0,1,0
9.0,4,4.0,3.0,5.7662,0,0,0,0,0
7.0,3,2.0,2.0,8.398,0,0,0,0,0
7.0,2,1.0,4.0,7.8353,0,0,0,0,1
19.0,0,3.0,3.0,7.461,0,0,0,1,1
1.0,0,4.0,1.0,7.4866,0,0,0,1,1
6.0,2,3.0,3.0,7.3326,0,0,1,0,1
14.0,1,1.0,4.0,5.5124,0,0,0,1,1
6.0,3,1.0,1.0,8.4426,0,0,0,1,1
27.0,0,4.0,3.0,5.8699,0,0,0,0,0
5.0,1,1.0,4.0,6.4379,0,0,0,1,0
18.0,14,3.0,1.0,7.466,0,0,0,1,0
9.0,3,1.0,3.0,7.2758,0,0,0,0,1
16.0,4,4.0,1.0,8.0391,0,0,0,0,0
4.0,2,3.0,3.0,10.3558,0,0,0,0,1
7.0,3,2.0,2.0,6.7348,0,0,1,0,1
8.0,1,2.0,1.0,9.3815,0,0,0,0,0
9.0,7,3.0,4.0,5.7554,0,0,0,0,1
25.0,0,2.0,3.0,6.2459,0,0,1,0,0
26.0,13,3.0,1.0,7.3692,0,0,1,0,0
8.0,7,1.0,4.0,6.9911,0,0,0,0,0
7.0,2,3.0,4.0,8.907,0,0,0,1,0
4.0,1,3.0,4.0,6.3179,0,0,0,0,0
9.0,0,1.0,1.0,6.5803,0,0,0,0,1
9.0,7,4.0,2.0,6.3551,0,0,0,1,1
10.0,8,3.0,4.0,6.9344,0,0,0,0,0
10.0,5,1.0,4.0,5.6394,0,0,0,0,0
10.0,2,4.0,4.0,5.8972,0,0,1,0,1
7.0,3,4.0,2.0,7.135,0,0,0,1,0
19.0,8,3.0,3.0,7.1126,0,0,1,0,0
13.0,9,3.0,2.0,10.1065,0,0,0,0,0
14.0,0,4.0,3.0,8.2538,0,0,0,1,1
12.0,3,3.0,4.0,5.7199,0,0,0,1,0
10.0,3,3.0,1.0,9.0468,1,0,0,0,1
37.0,13,4.0,1.0,8.9367,0,0,0,1,1
10.0,6,4.0,2.0,6.4031,0,0,1,0,0
1.0,0,3.0,4.0,6.9333,0,0,0,0,0
8.0,2,4.0,2.0,6.2807,0,0,0,1,0
8.0,3,4.0,4.0,5.8817,0,0,0,0,0
10.0,7,3.0,3.0,7.3603,0,0,1,0,0
5.0,2,3.0,4.0,5.7832,0,0,0,1,1
18.0,2,4.0,2.0,7.6136,0,1,1,0,0
20.0,9,3.0,3.0,6.9967,0,0,0,0,0
28.0,10,3.0,2.0,10.0503,0,0,1,0,0
2.0,2,4.0,2.0,6.5145,0,0,1,0,0
29.0,8,2.0,3.0,9.178,0,0,1,0,1
8.0,0,1.0,3.0,5.5329,0,0,1,0,0
5.0,2,1.0,2.0,6.6839,1,0,0,0,0
1.0,0,1.0,2.0,7.5618,0,0,0,1,1
10.0,8,4.0,3.0,10.6662,0,0,1,0,1
10.0,5,2.0,1.0,7.7098,0,0,0,1,0
23.0,2,4.0,2.0,6.4618,0,1,0,0,0
16.0,1,3.0,4.0,6.5153,0,1,0,1,0
20.0,7,3.0,3.0,9.706,0,1,1,0,0
5.0,2,3.0,3.0,6.2631,0,0,0,0,0
28.0,3,1.0,4.0,6.1745,0,0,1,0,1
16.0,2,1.0,3.0,6.0362,0,0,0,1,0
20.0,4,1.0,4.0,7.2132,0,0,1,0,1
30.0,3,3.0,3.0,5.906,0,0,0,0,0
9.0,7,3.0,4.0,7.5388,0,1,0,1,1
10.0,5,3.0,4.0,7.618,1,0,0,0,1
28.0,9,3.0,1.0,5.5467,0,0,0,0,0
23.0,2,4.0,2.0,6.2471,0,1,0,0,0
1.0,0,1.0,3.0,5.6309,0,0,1,0,0
18.0,0,2.0,1.0,9.4222,0,0,0,0,1
7.0,7,4.0,3.0,5.6504,0,1,0,1,0
8.0,7,3.0,2.0,5.5003,0,0,0,0,0
9.0,2,3.0,4.0,5.6678,0,1,1,0,0
9.0,6,1.0,3.0,7.6363,0,1,0,1,0
12.0,7,1.0,4.0,6.5732,1,0,1,0,0
32.0,6,4.0,4.0,7.1786,0,0,1,0,1
10.0,8,3.0,1.0,5.8694,0,0,1,0,1
8.0,0,2.0,3.0,5.8991,0,0,0,0,0
10.0,4,3.0,3.0,7.3045,0,0,0,0,0
22.0,3,4.0,2.0,6.9051,0,0,0,0,0
16.0,10,2.0,1.0,7.0112,0,0,0,0,0
12.0,4,2.0,4.0,6.5308,0,0,0,0,0
21.0,0,4.0,2.0,7.2043,0,0,0,1,1
9.0,7,1.0,4.0,7.074,0,0,1,0,0
6.0,4,2.0,1.0,7.0694,0,0,0,0,0
10.0,9,4.0,4.0,6.7864,0,0,1,0,0
12.0,7,2.0,3.0,7.8585,0,0,0,0,1
9.0,8,2.0,1.0,9.7836,0,0,0,0,1
11.0,7,3.0,2.0,7.6239,0,0,0,0,1
18.0,12,1.0,3.0,7.2203,0,0,0,0,1
8.0,2,2.0,4.0,7.741,0,1,0,1,0
10.0,8,2.0,4.0,7.1386,0,0,0,0,0
